time (seconds),I_position (m),J_position (m),K_position (m),I_velocity (m/s),J_velocity (m/s),K_velocity (m/s),I_acceleration (m/s^2),J_acceleration (m/s^2),K_acceleration (m/s^2),,Acceleration magnitude,,Average acceleration magnitude
0,2888882.315,-5890441.188,1530625.817,4994.452352,949.2670096,-5773.314082,-3.766089921,7.679070577,-1.995399546,,8.782549605,,8.779640428
1,2893874.883,-5889488.082,1524851.506,4990.683008,956.9454598,-5775.305718,-3.772583554,7.677832464,-1.987890308,,8.782551217,,
2,2898863.679,-5888527.297,1519075.208,4986.907157,964.6226624,-5777.289825,-3.779069798,7.676579285,-1.980377155,,8.782546996,,
3,2903848.696,-5887558.837,1513296.929,4983.124805,972.2986075,-5779.2664,-3.786141961,7.675204556,-1.972179006,,8.782546667,,
4,2908829.927,-5886582.701,1507516.678,4979.335957,979.973285,-5781.235442,-3.792031622,7.674051183,-1.965345198,,8.782547872,,
5,2913807.365,-5885598.89,1501734.461,4975.540618,987.646685,-5783.196946,-3.798499585,7.672760728,-1.957822359,,8.782535208,,
6,2918781.006,-5884607.408,1495950.286,4971.738792,995.3187974,-5785.150911,-3.805558037,7.671358043,-1.949616946,,8.782540204,,
7,2923750.841,-5883608.253,1490164.162,4967.930485,1002.989612,-5787.097335,-3.811429416,7.670167394,-1.942773451,,8.782529859,,
8,2928716.864,-5882601.429,1484376.094,4964.115701,1010.659119,-5789.036214,-3.817894332,7.668870726,-1.935248997,,8.78254428,,6736895.014
9,2933679.07,-5881586.935,1478586.092,4960.294446,1018.327309,-5790.967546,-3.823762665,7.667673865,-1.928403889,,8.782546611,,6736895.026
10,2938637.451,-5880564.775,1472794.162,4956.466725,1025.994171,-5792.891329,-3.830811976,7.666252541,-1.920193633,,8.782578893,,6736895.04
11,2943592.001,-5879534.948,1467000.311,4952.632542,1033.659696,-5794.80756,-3.836655933,7.665005978,-1.913335609,,8.782545106,,6736895.055
12,2948542.714,-5878497.456,1461204.549,4948.791902,1041.323873,-5796.716236,-3.844265265,7.663410296,-1.904426636,,8.782543687,,6736895.072
13,2953489.583,-5877452.3,1455406.882,4944.944811,1048.986692,-5798.617356,-3.850115316,7.662176159,-1.897571841,,8.782545777,,6736895.09
14,2958432.602,-5876399.483,1449607.317,4941.091274,1056.648144,-5800.510916,-3.856531481,7.660780089,-1.890021557,,8.782514909,,6736895.109
15,2963371.763,-5875339.004,1443805.862,4937.231295,1064.308218,-5802.396915,-3.864159095,7.659221683,-1.88112227,,8.782597753,,6736895.13
16,2968307.062,-5874270.867,1438002.525,4933.36488,1071.966905,-5804.275349,-3.869978676,7.657925419,-1.874251332,,8.78256083,,6736895.152
17,2973238.491,-5873195.071,1432197.314,4929.492034,1079.624194,-5806.146216,-3.876388748,7.656516923,-1.86669782,,8.782550989,,6736895.176
18,2978166.044,-5872111.619,1426390.236,4925.612761,1087.280075,-5808.009514,-3.882220517,7.65524551,-1.859833339,,8.782562269,,6736895.201
19,2983089.714,-5871020.511,1420581.298,4921.727067,1094.934539,-5809.86524,-3.88920889,7.653699933,-1.851590795,,8.782565509,,6736895.228
20,2988009.496,-5869921.75,1414770.508,4917.834957,1102.587576,-5811.713393,-3.895606774,7.652266587,-1.844030826,,8.782561456,,6736895.256
21,2992925.382,-5868815.337,1408957.873,4913.936436,1110.239175,-5813.553969,-3.902016845,7.650858091,-1.836477314,,8.782597219,,6736895.286
22,2997837.367,-5867701.272,1403143.402,4910.031508,1117.889326,-5815.386966,-3.908390354,7.649375044,-1.828904429,,8.782559144,,6736895.317
23,3002745.443,-5866579.559,1397327.102,4906.12018,1125.53802,-5817.212382,-3.91418556,7.648029078,-1.822020576,,8.782537011,,6736895.349
24,3007649.605,-5865450.197,1391508.98,4902.202456,1133.185247,-5819.030214,-3.921149558,7.646433799,-1.813765118,,8.782545622,,6736895.383
25,3012549.846,-5864313.189,1385689.044,4898.278342,1140.830996,-5820.84046,-3.927535254,7.644975603,-1.806198691,,8.782570173,,6736895.418
